match_date,Winners
5/28/2016,LUMINOSITY
5/27/2016,NIP
5/26/2016,LUMINOSITY
5/26/2016,FNATIC
5/26/2016,NIP
5/26/2016,LIQUID
5/25/2016,LUMINOSITY
5/25/2016,LUMINOSITY
5/25/2016,MOUSESPORTS
5/25/2016,FNATIC
5/25/2016,LIQUID
5/24/2016,LUMINOSITY
5/24/2016,LUMINOSITY
5/24/2016,CLOUD9
5/24/2016,CLOUD9
5/23/2016,G2
5/23/2016,NIP
5/23/2016,G2
5/22/2016,OPTIC
5/22/2016,MOUSESPORTS
5/22/2016,VIRTUS.PRO
5/22/2016,FAZE
5/21/2016,CLOUD9
5/21/2016,OPTIC
5/21/2016,ASTRALIS
5/21/2016,NATUS VINCERE
5/21/2016,NATUS VINCERE
5/20/2016,ASTRALIS
5/20/2016,VIRTUS.PRO
5/19/2016,FNATIC
5/19/2016,ENVY
5/19/2016,HELLRAISERS
5/18/2016,NIP
5/18/2016,ASTRALIS
5/17/2016,G2
5/17/2016,G2
5/16/2016,DIGNITAS
5/15/2016,LUMINOSITY
5/14/2016,G2
5/14/2016,LUMINOSITY
5/12/2016,FNATIC
5/12/2016,LIQUID
5/11/2016,LUMINOSITY
5/11/2016,MOUSESPORTS
5/11/2016,NIP
5/11/2016,NIP
5/11/2016,FNATIC
5/11/2016,G2
5/10/2016,VIRTUS.PRO
5/9/2016,NIP
5/9/2016,NIP
5/8/2016,LUMINOSITY
5/8/2016,LUMINOSITY
5/8/2016,FNATIC
5/8/2016,TEMPO STORM
5/7/2016,CLOUD9
5/7/2016,TEMPO STORM
5/7/2016,LUMINOSITY
5/6/2016,CLOUD9
5/5/2016,G2
5/5/2016,FAZE
5/5/2016,LUMINOSITY
5/4/2016,LUMINOSITY
5/4/2016,NIP
5/4/2016,FAZE
5/4/2016,LUMINOSITY
5/3/2016,ASTRALIS
5/3/2016,FNATIC
5/1/2016,CLG
4/30/2016,TEMPO STORM
4/30/2016,LUMINOSITY
4/29/2016,MOUSESPORTS
4/29/2016,HELLRAISERS
4/29/2016,TEMPO STORM
4/28/2016,ASTRALIS
4/28/2016,DIGNITAS
4/26/2016,LUMINOSITY
4/26/2016,LUMINOSITY
4/26/2016,FNATIC
4/26/2016,FAZE
4/26/2016,NIP
4/26/2016,MOUSESPORTS
4/26/2016,FAZE
4/26/2016,G2
4/26/2016,NATUS VINCERE
4/26/2016,ASTRALIS
4/25/2016,ASTRALIS
4/25/2016,VIRTUS.PRO
4/24/2016,FAZE
4/24/2016,MOUSESPORTS
4/23/2016,VIRTUS.PRO
4/21/2016,VIRTUS.PRO
4/21/2016,FAZE
4/21/2016,HELLRAISERS
4/21/2016,MOUSESPORTS
4/21/2016,DIGNITAS
4/21/2016,NIP
4/21/2016,HELLRAISERS
4/21/2016,NIP
4/20/2016,FAZE
4/20/2016,FAZE
4/20/2016,G2
4/20/2016,NATUS VINCERE
4/20/2016,ENVY
4/19/2016,ASTRALIS
4/19/2016,ASTRALIS
